text,threat_label
The city council discussed budget allocations for parks and libraries.,0
Voter turnout in the district increased compared to the previous cycle.,0
The minister outlined a five-year infrastructure modernization plan.,0
Cross-party working group published recommendations on data privacy.,0
Local candidates held a civil debate on housing policy.,0
The parliament scheduled a routine vote on agricultural subsidies.,0
Analysts compared fiscal projections for the next quarter.,0
The embassy issued a travel advisory with standard safety tips.,0
Community organizers registered voters ahead of the primary.,0
The governor signed a bipartisan bill on water conservation.,0
School board meeting focused on curriculum updates and funding.,0
NGO report highlighted gradual improvements in transparency metrics.,0
Town hall addressed public transit schedules and fare adjustments.,0
Election officials certified results without controversy.,0
Policy brief summarized international trade negotiations status.,0
Mayor welcomed new small business grants downtown.,0
Committee hearing examined energy efficiency standards.,0
Supreme court declined to hear the case; lower ruling stands.,0
Diplomatic channels remain open according to official statements.,0
Census data release showed modest demographic shifts.,0
Large crowd vowed to shut down the highway if demands are ignored.,1
Activists promised escalating protests through the weekend.,1
Online posts called for confronting officials at their homes.,1
Union leader warned of indefinite strike if talks collapse.,1
Rally speaker said citizens should not accept the election outcome.,1
Hashtag trended with images of burned effigies of leaders.,1
Organizers urged followers to surround the courthouse tomorrow.,1
Angry statements accused the government of stealing the vote.,1
Demonstrators clashed with police; several injuries reported.,1
Leader said the movement will take back the streets by force if needed.,1
Video circulated urging supporters to bring flags and blockade ports.,1
Opposition figure claimed the regime must fall by any means necessary.,1
Crowd chanted that officials will pay for their betrayal.,1
Post described plans to disrupt the inauguration ceremony.,1
Group announced occupation of government buildings until demands met.,1
Rhetoric intensified as marchers defied permit conditions.,1
Influencer told audience to prepare for civil disobedience at scale.,1
Campaign email used militarized language about the final battle.,1
Local news reported tense standoff outside city hall overnight.,1
Organizers refused to condemn isolated property damage incidents.,1
Post explicitly threatened to assassinate the mayor this week.,2
User detailed plans to bomb the polling station on election day.,2
Message called for armed militia to execute judges who ruled against them.,2
Account shared instructions to manufacture explosives for the rally.,2
Threat promised coordinated attacks on minority neighborhoods tonight.,2
Writer said they would shoot any official who enforces the law.,2
Group chat plotted kidnapping a senator and listed weapons needed.,2
Tweet urged followers to burn down the capitol with everyone inside.,2
Video demonstrated how to ambush a motorcade with firearms.,2
Statement endorsed genocide against a named ethnic group.,2
User offered bounty for violence against election workers.,2
Manifesto advocated targeted killings of party leaders.,2
Post scheduled a mass shooting at the campaign event.,2
Encrypted note described nerve agent use at the debate venue.,2
Account celebrated past terrorist attack and called for repetition.,2
Comment threatened to detonate a device at the train station.,2
Forum thread coordinated armed storming of the military base.,2
Message said families of officials are legitimate targets.,2
User vowed to stab the candidate at the upcoming town hall.,2
Extremist channel distributed hit list with home addresses.,2
